  apex.x  apex.y  apex.z  axis.x  axis.y  axis.z  cosHalfAngle          E0        Edpst   history_number
    2.53    1.75   -0.99   -2.08    2.30    0.17   0.79598017   0.66100001   0.13801900         5760
    4.15    2.22    0.41    0.10    0.47    0.04   0.98591454   0.66100001   0.01182800         5766
    2.25    1.54    1.42   -0.20    0.31   -0.02   0.88529720   0.66100001   0.08540300         5771
    6.08    1.34   -0.50    0.15    1.32   -0.71   0.90387271   0.66100001   0.07310200         5789
    2.72    1.76    1.51   -0.83    0.94   -0.09   0.76640267   0.66100001   0.15338500         5791
    1.31    1.72   -1.00   -0.78    0.51   -0.10   0.69747638   0.66100001   0.18591400         5911
    0.91    1.81   -1.48   -0.62    1.22    0.28   0.91627796   0.66100001   0.06459000         5967
    6.05    1.58    0.37   -0.73    1.04   -2.12   0.27627563   0.66100001   0.31960400         6041
    5.03    5.46    0.87   -2.21    0.00   -0.28   0.02630148   0.66100001   0.36846000         6043
    4.65    3.52   -1.00   -1.88    1.62    0.69   0.55579002   0.66100001   0.24121200         6085
    6.22    3.18    0.47    0.12   -1.26    0.42  -0.83593521   0.66100001   0.46514000         6186
    2.35    1.42    1.06   -0.60    0.90   -0.19   0.84303833   0.66100001   0.11155700         6257
    0.79    1.45    0.29    0.58    0.37    0.23   0.59637568   0.66100001   0.22673300         6292
    0.79    2.14    0.20   -0.22    0.79    0.16   0.97695850   0.66100001   0.01913100         6304
    3.31    4.99    1.36   -0.43    0.42   -0.88   0.27764229   0.66100001   0.31929200         6339
    4.69    2.11   -0.74    0.43    1.87   -0.43   0.97561174   0.66100001   0.02021500         6342
    5.48    3.03   -0.57    0.87   -1.56    1.70  -0.65869884   0.66100001   0.45086500         6355
    5.91    2.05    0.04    0.07   -0.61    0.44  -0.57373214   0.66100001   0.44325700         6495
    2.65    1.55    0.64   -0.40   -0.15   -0.03  -0.46891404   0.66100001   0.43307700         6532
    2.75    3.82    0.07   -1.23    0.68   -0.47   0.49296932   0.66100001   0.26181300         6536
    1.72    1.94    0.89   -0.17   -0.51   -0.07  -0.77161010   0.66100001   0.46018900         6565
    4.57    2.56    0.08    0.31   -0.09   -0.16  -0.21915486   0.66100001   0.40450300         6619
    2.56    2.24    0.89   -0.37    0.02    0.34   0.18854554   0.66100001   0.33850600         6664
    5.33    3.26   -0.74    0.87    0.09   -0.54   0.21646363   0.66100001   0.33272200         6716
    2.69    2.96    1.44   -0.03    0.09    0.12   0.71602365   0.66100001   0.17757800         6719
    3.85    2.90   -0.59    1.18    0.77   -0.66   0.52240112   0.66100001   0.25241900         6743
    5.52    1.38    0.48    0.13    0.70    0.11   0.99329106   0.66100001   0.00568700         6793
    5.74    3.22    1.28    0.09   -0.28   -0.27  -0.97998352   0.66100001   0.47538800         6854
    0.98    5.12   -0.07    0.99    0.19    0.58   0.07472529   0.66100001   0.36011900         6862
    2.98    1.57   -0.79   -0.85    1.81    0.25   0.91854605   0.66100001   0.06300700         6869
    6.51    2.23   -1.50    0.72   -0.03    0.29   0.19789906   0.66100001   0.33659100         6900
    4.84    3.37   -1.41    0.61    0.29    1.04   0.12633079   0.66100001   0.35069000         6978
    5.39    1.68    0.06   -0.34    0.04   -0.12  -0.02570525   0.66100001   0.37691800         7095
    5.83    3.60   -1.35    0.91    0.50   -0.11   0.61052909   0.66100001   0.22144600         7112
    5.42    2.70    1.54   -0.58    0.34   -0.26   0.34079187   0.66100001   0.30422600         7166
    5.90    1.35   -1.49    0.40    0.59   -0.05   0.91854891   0.66100001   0.06300500         7172
    0.89    3.32   -0.46    0.80    1.37    0.50   0.68055347   0.66100001   0.19327300         7202
    1.47    1.75   -0.19    0.45    0.52   -0.13   0.60088877   0.66100001   0.22506100         7260
